sku,name,imgurl,category,description
A07533S,"Автошампунь для б/к мойки ""Active Foam"" (1:1) 1 л AVS OPTIMUM PF-10",https://avs-auto.ru/storage/photo/resized/axy_210x210/i/pxsh4dnfhehu4wn_da661d6a.jpg,Автошампуни и воск для сушки,"Концентрированное средство для бесконтактной мойки автомобильного транспорта. Удаляет дорожную пыль, масло, грязь, следы насекомых."
A07560S,Чернитель шин BLACK TYRE (концентрат) 5 л AVS AVK-615,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/3j33u57ufl3zvll_508ca6cc.jpg,Для колес и шин,"Применяется для восстановления внешнего вида автомобильных шин. Возвращает глубокий черный цвет, обновляет внешний вид, придает глянцевый блеск."
A07562S,Очиститель двигателя (концентрат) 5 л AVS AVK-658,https://avs-auto.ru/storage/photo/resized/axy_210x210/a/58bovejjxq5g0cu_23740d2.jpg,Для подкапотного пространства,Эффективно и быстро очищает внешнюю поверхность двигателя и подкапотного пространства.
A07561S,Очиститель двигателя (концентрат) 1 л AVS AVK-657,https://avs-auto.ru/storage/photo/resized/axy_210x210/g/tadscpar0jficp0_1dba5c7d.jpg,Для подкапотного пространства,Эффективно и быстро очищает внешнюю поверхность двигателя и подкапотного пространства.
A78713S,Полироль для приборной панели глянцевый (Зеленый чай) 125 мл AVS AVK-083,https://avs-auto.ru/storage/photo/resized/axy_210x210/d/p804fkx11u1hi63_288fe3af.jpg,Для салона,"Нежно очищает и полирует элементы интерьера автомобиля из пластика, винила, резины и кожзаменителя. Придает эффектный глянцевый блеск."
A78715S,Полироль для приборной панели глянцевый (Кокос) 125 мл AVS AVK-085,https://avs-auto.ru/storage/photo/resized/axy_210x210/b/reo9r1rvbtlmozj_1dadfe13.jpg,Для салона,"Нежно очищает и полирует элементы интерьера автомобиля из пластика, винила, резины и кожзаменителя. Придает эффектный глянцевый блеск."
A78121S,Очиститель кондиционера - ликвидатор запахов в салоне автомобиля (аэрозоль) 210 мл AVS AVK-034,https://avs-auto.ru/storage/photo/resized/axy_210x210/h/y7r56thtut001qn_630d588e.jpg,Для салона,"Предназначен для устранения неприятного запаха, образующегося в системе вентиляции и кондиционирования"
A78422S,Очиститель рук (туба) 115 г AVS AVK-041,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/q6b1be9k8cyupbl_30f4c875.jpg,Очистители для рук,"Высокоэффективный очиститель в тубе  для очистки кожи рук от сильных загрязнений, таких как масла, смазки, нефтепродукты, силиконы, сажа, типографская краска.  Микрогранулы способствуют глубокому очищению и мягкому «абразивному» действию."
A78860S,Чернитель шин (аэрозоль) 1 л AVS AVK-088,https://avs-auto.ru/storage/photo/resized/axy_210x210/g/bsru07vpy2hl0rb_362ace23.jpg,Весенний уход за авто,Эффективное средство для восстановления внешнего вида автомобильных шин и других резиновых элементов автомобиля. Придает покрышкам интенсивный влажный блеск «мокрых шин».
A78523S,Очиститель карбюратора и воздушной заслонки инжектора (аэрозоль) 140 мл AVS AVK-046,https://avs-auto.ru/storage/photo/resized/axy_210x210/g/jf2lk7k1an093s0_9eb37ee0.jpg,Для подкапотного пространства,"Быстро, эффективно позволяет очистить карбюратор, воздушные жиклеры от всех видов отложений (нагар, смолы, масляную пленку и т.п.), накапливающихся в процессе эксплуатации автомобиля. Применяется также для очистки дроссельной заслонки инжекторных двигателей. Незаменимое средство для очистки клапана вентиляции картерных газов."
A07559S,Чернитель шин BLACK TYRE (концентрат) 1 л AVS AVK-614,https://avs-auto.ru/storage/photo/resized/axy_210x210/h/fmns4dpxbask7h6_2900a98b.jpg,Для колес и шин,"Применяется для восстановления внешнего вида автомобильных шин. Возвращает глубокий черный цвет, обновляет внешний вид, придает глянцевый блеск."
A78068S,Очиститель следов насекомых и битумных пятен (аэрозоль) 335 мл AVS AVK-027,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/ojokhlxa09cixpb_2362a3b6.jpg,"Для стекол, фар и кузова","Продукт, разработанный для очистки лакокрасочных покрытий и хромированных деталей кузова автомобиля от стойких загрязнений. Легко очищает от пятен масла, битума, смолы, следов от насекомых и почек липы. Эффективен для удаления автомобильного консерванта."
A78710S,Полироль для приборной панели матовый (Кокос) 125 мл AVS AVK-080,https://avs-auto.ru/storage/photo/resized/axy_210x210/b/8umqgb8w5nvd5ol_897eaa91.jpg,Для салона,"Нежно очищает и полирует элементы интерьера автомобиля из пластика, винила, резины и кожзаменителя. Придает эффектный блеск матового оттенка."
